src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.96,172.16.40.180,161,51954,1651680237960,1651680237965,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237966,1651680237971,645,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237973,1651680237979,669,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680237979,1651680237986,655,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680237987,1651680238000,649,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238000,1651680238005,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238007,1651680238012,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238012,1651680238018,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238020,1651680238026,668,0,6532321
172.16.40.2,172.16.40.180,161,51954,1651680237848,1651680238032,647,0,44873554
172.16.40.180,172.16.40.96,51954,161,1651680238026,1651680238032,656,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238033,1651680238045,649,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238045,1651680238051,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238053,1651680238059,648,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238059,1651680238064,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238065,1651680238071,667,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238071,1651680238084,651,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238086,1651680238091,654,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238091,1651680238097,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238098,1651680238103,648,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238103,1651680238109,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238110,1651680238122,647,0,6532321
172.16.40.180,172.16.40.36,51954,161,1651680236470,1651680238125,999,0,10033217
172.16.40.180,172.16.40.96,51954,161,1651680238125,1651680238132,668,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238134,1651680238139,656,0,6532321
172.16.40.180,172.16.40.1,51954,161,1651680237489,1651680238142,2024,1,44874052
172.16.40.180,172.16.40.96,51954,161,1651680238139,1651680238144,648,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238145,1651680238151,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238152,1651680238165,646,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238167,1651680238173,646,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238173,1651680238179,668,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238180,1651680238186,657,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238186,1651680238192,648,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238194,1651680238205,647,0,6532321
172.16.40.180,172.16.40.96,51954,161,1651680238205,1651680238210,647,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238212,1651680238218,646,0,6532321
172.16.40.36,172.16.40.180,161,51954,1651680238151,1651680238224,1046,0,9949602
172.16.40.180,172.16.40.96,51954,161,1651680238218,1651680238224,667,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238226,1651680238232,657,0,6532321
172.16.40.180,172.16.40.233,51954,161,1651680236535,1651680238240,1031,0,4480824
172.16.40.180,172.16.40.96,51954,161,1651680238232,1651680238251,648,0,7153504
172.16.40.96,172.16.40.180,161,51954,1651680238253,1651680238260,647,0,6532321
172.16.40.49,172.16.40.180,161,51954,1651680237134,1651680238261,1017,0,6058842
172.16.40.180,172.16.40.96,51954,161,1651680238260,1651680238266,647,0,7153504
172.16.40.180,172.16.40.49,51954,161,1651680238261,1651680238267,708,0,6413810
172.16.40.180,172.16.40.49,51954,161,1651680238267,1651680238273,671,0,6413810
