src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic,size_traffic
172.16.40.95,172.16.40.180,161,51954,1651680410210,1651680410238,648,0,5675354
172.16.40.101,172.16.40.180,161,51954,1651680410233,1651680410239,645,0,26656285
172.16.40.80,172.16.40.180,161,51954,1651680410234,1651680410242,647,0,8214444
172.16.40.102,172.16.40.180,161,51954,1651680410228,1651680410243,653,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410239,1651680410245,643,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410243,1651680410249,645,0,23560157
172.16.40.180,172.16.40.80,51954,161,1651680410242,1651680410249,646,0,8731630
172.16.40.101,172.16.40.180,161,51954,1651680410247,1651680410252,642,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410250,1651680410255,669,0,23773753
172.16.40.180,172.16.40.2,51954,161,1651680410084,1651680410256,668,0,41211180
172.16.40.80,172.16.40.180,161,51954,1651680410251,1651680410259,648,0,8214444
172.16.40.180,172.16.40.95,51954,161,1651680410238,1651680410259,646,0,5719006
172.16.40.180,172.16.40.2,51954,161,1651680410256,1651680410260,644,0,41211180
172.16.40.180,172.16.40.101,51954,161,1651680410252,1651680410260,641,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410255,1651680410261,655,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410263,1651680410268,655,0,23773753
172.16.40.180,172.16.40.80,51954,161,1651680410259,1651680410276,646,0,8731630
172.16.40.101,172.16.40.180,161,51954,1651680410273,1651680410281,657,0,26656285
172.16.40.180,172.16.40.102,51954,161,1651680410269,1651680410284,646,0,23560157
172.16.40.80,172.16.40.180,161,51954,1651680410278,1651680410285,649,0,8214444
172.16.40.95,172.16.40.180,161,51954,1651680410275,1651680410287,666,0,5675354
172.16.40.180,172.16.40.101,51954,161,1651680410281,1651680410289,646,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410285,1651680410290,652,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410290,1651680410295,648,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410291,1651680410298,648,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410297,1651680410302,667,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410302,1651680410308,656,0,23560157
172.16.40.180,172.16.40.95,51954,161,1651680410287,1651680410321,651,0,5719006
172.16.40.180,172.16.40.101,51954,161,1651680410299,1651680410323,647,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410321,1651680410326,652,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410326,1651680410331,647,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410326,1651680410336,647,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410333,1651680410339,653,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410340,1651680410345,648,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680410336,1651680410353,645,0,26323621
172.16.40.95,172.16.40.180,161,51954,1651680410329,1651680410357,654,0,5675354
172.16.40.101,172.16.40.180,161,51954,1651680410355,1651680410362,661,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410347,1651680410362,667,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410362,1651680410367,646,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410363,1651680410368,651,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410369,1651680410374,646,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410369,1651680410374,655,0,23773753
172.16.40.180,172.16.40.139,51954,161,1651680407384,1651680410384,1947,0,6811612
172.16.40.180,172.16.40.102,51954,161,1651680410374,1651680410387,650,0,23560157
172.16.40.180,172.16.40.95,51954,161,1651680410357,1651680410388,646,0,5719006
172.16.40.180,172.16.40.101,51954,161,1651680410374,1651680410391,644,0,26323621
172.16.40.1,172.16.40.180,161,51954,1651680409600,1651680410395,2489,1,44875729
172.16.40.101,172.16.40.180,161,51954,1651680410393,1651680410400,644,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410388,1651680410403,651,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410400,1651680410405,644,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410403,1651680410408,648,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410406,1651680410412,661,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410410,1651680410415,647,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410415,1651680410421,668,0,23560157
172.16.40.95,172.16.40.180,161,51954,1651680410400,1651680410422,651,0,5675354
172.16.40.180,172.16.40.101,51954,161,1651680410412,1651680410429,645,0,26323621
172.16.40.101,172.16.40.180,161,51954,1651680410431,1651680410437,647,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410423,1651680410437,656,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410437,1651680410442,644,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410437,1651680410443,652,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410444,1651680410449,644,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410444,1651680410449,647,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410449,1651680410454,651,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680410449,1651680410455,644,0,26323621
172.16.40.180,172.16.40.228,51954,161,1651680406907,1651680410458,1722,0,4317292
172.16.40.180,172.16.40.16,51954,161,1651680410456,1651680410462,661,0,10156329
172.16.40.180,172.16.40.107,51954,161,1651680397429,1651680410464,637,0,3336068
172.16.40.180,172.16.40.1,51954,161,1651680410416,1651680410466,1597,1,44874052
172.16.40.1,172.16.40.180,161,51954,1651680410466,1651680410467,681,1,44875729
172.16.40.180,172.16.40.11,51954,161,1651680410083,1651680410470,661,0,8876092
172.16.40.180,172.16.40.28,51954,161,1651680408326,1651680410471,629,0,7355715
172.16.40.48,172.16.40.180,161,51954,1651680407630,1651680410471,1384,0,6141158
172.16.40.101,172.16.40.180,161,51954,1651680410456,1651680410479,660,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410456,1651680410483,647,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410479,1651680410484,646,0,26323621
172.16.40.180,172.16.40.95,51954,161,1651680410422,1651680410486,648,0,5719006
172.16.40.180,172.16.40.102,51954,161,1651680410483,1651680410489,668,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410486,1651680410491,647,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410491,1651680410497,644,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410490,1651680410498,657,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410499,1651680410508,651,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410509,1651680410514,644,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410515,1651680410521,644,0,26323621
172.16.40.101,172.16.40.180,161,51954,1651680410522,1651680410528,646,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410522,1651680410528,648,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410528,1651680410537,652,0,23560157
172.16.40.95,172.16.40.180,161,51954,1651680410496,1651680410544,647,0,5675354
172.16.40.180,172.16.40.101,51954,161,1651680410528,1651680410551,659,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410541,1651680410559,646,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410560,1651680410565,667,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410570,1651680410579,657,0,23773753
172.16.40.180,172.16.40.95,51954,161,1651680410545,1651680410580,667,0,5719006
172.16.40.180,172.16.40.102,51954,161,1651680410579,1651680410587,648,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410567,1651680410595,647,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410596,1651680410603,645,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410588,1651680410604,647,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410604,1651680410609,647,0,23560157
172.16.40.95,172.16.40.180,161,51954,1651680410593,1651680410610,656,0,5675354
172.16.40.101,172.16.40.180,161,51954,1651680410607,1651680410613,644,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410611,1651680410616,647,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410613,1651680410618,644,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410616,1651680410621,646,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410622,1651680410628,672,0,23773753
172.16.40.180,172.16.40.95,51954,161,1651680410611,1651680410634,655,0,5719006
172.16.40.101,172.16.40.180,161,51954,1651680410620,1651680410635,644,0,26656285
172.16.40.180,172.16.40.101,51954,161,1651680410635,1651680410642,667,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410628,1651680410643,652,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410643,1651680410648,657,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410645,1651680410651,653,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410649,1651680410654,648,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410651,1651680410656,647,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410657,1651680410662,653,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410662,1651680410667,645,0,23560157
172.16.40.95,172.16.40.180,161,51954,1651680410638,1651680410679,647,0,5675354
172.16.40.101,172.16.40.180,161,51954,1651680410655,1651680410681,647,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410669,1651680410683,670,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410681,1651680410687,647,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410684,1651680410689,655,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410689,1651680410694,646,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410691,1651680410696,655,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410694,1651680410699,666,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410696,1651680410702,647,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410711,1651680410717,657,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410703,1651680410718,652,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410717,1651680410722,649,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410718,1651680410724,648,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410724,1651680410729,652,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410725,1651680410730,668,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410729,1651680410734,650,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410730,1651680410735,656,0,23560157
172.16.40.180,172.16.40.95,51954,161,1651680410679,1651680410736,651,0,5719006
172.16.40.102,172.16.40.180,161,51954,1651680410736,1651680410741,649,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410742,1651680410747,646,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410736,1651680410752,650,0,26656285
172.16.40.1,172.16.40.180,161,51954,1651680410467,1651680410758,1045,1,44875729
172.16.40.180,172.16.40.2,51954,161,1651680410497,1651680410758,1805,0,41211180
172.16.40.3,172.16.40.180,161,51954,1651680408888,1651680410758,995,0,13846058
172.16.40.31,172.16.40.180,161,51954,1651680408614,1651680410759,1876,0,20529763
172.16.40.180,172.16.40.101,51954,161,1651680410752,1651680410760,646,0,26323621
172.16.40.102,172.16.40.180,161,51954,1651680410748,1651680410766,648,0,23773753
172.16.40.101,172.16.40.180,161,51954,1651680410761,1651680410769,671,0,26656285
172.16.40.180,172.16.40.102,51954,161,1651680410766,1651680410771,646,0,23560157
172.16.40.180,172.16.40.101,51954,161,1651680410769,1651680410775,652,0,26323621
172.16.40.95,172.16.40.180,161,51954,1651680410740,1651680410779,647,0,5675354
172.16.40.102,172.16.40.180,161,51954,1651680410772,1651680410782,667,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410783,1651680410798,651,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410781,1651680410803,654,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410800,1651680410805,654,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410803,1651680410808,647,0,26323621
172.16.40.180,172.16.40.102,51954,161,1651680410805,1651680410811,646,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410810,1651680410815,652,0,26656285
172.16.40.180,172.16.40.1,51954,161,1651680410758,1651680410816,2681,1,44874052
172.16.40.180,172.16.40.239,51954,161,1651680407146,1651680410817,2075,0,4675080
172.16.40.102,172.16.40.180,161,51954,1651680410812,1651680410817,648,0,23773753
172.16.40.180,172.16.40.1,51954,161,1651680410816,1651680410817,688,1,44874052
172.16.40.180,172.16.40.251,51954,161,1651680392778,1651680410817,627,0,1339588
172.16.40.6,172.16.40.180,161,51954,1651680409935,1651680410818,2175,0,11042702
172.16.40.180,172.16.40.1,51954,161,1651680410817,1651680410818,688,1,44874052
172.16.40.180,172.16.40.102,51954,161,1651680410818,1651680410823,646,0,23560157
172.16.40.180,172.16.40.68,51954,161,1651680407072,1651680410830,2410,0,6483839
172.16.40.180,172.16.40.101,51954,161,1651680410815,1651680410831,645,0,26323621
172.16.40.101,172.16.40.180,161,51954,1651680410833,1651680410839,669,0,26656285
172.16.40.102,172.16.40.180,161,51954,1651680410825,1651680410839,647,0,23773753
172.16.40.180,172.16.40.101,51954,161,1651680410839,1651680410844,655,0,26323621
172.16.40.180,172.16.40.95,51954,161,1651680410781,1651680410844,668,0,5719006
172.16.40.180,172.16.40.102,51954,161,1651680410840,1651680410846,668,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410848,1651680410853,656,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410854,1651680410859,652,0,23560157
172.16.40.102,172.16.40.180,161,51954,1651680410860,1651680410866,647,0,23773753
172.16.40.180,172.16.40.102,51954,161,1651680410866,1651680410879,651,0,23560157
172.16.40.101,172.16.40.180,161,51954,1651680410879,1651680410884,649,0,26656285
