src_ip,dst_ip,src_port,dst_port,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_bytes,target_traffic
192.168.1.77,91.108.12.3,28150,530,1588779638546,1588779639102,774,0
192.168.1.77,91.108.12.5,28150,537,1588779638546,1588779639102,774,0
192.168.1.77,91.108.8.8,28150,529,1588779639048,1588779639156,1022,0
91.108.8.1,192.168.1.77,533,28150,1588779639072,1588779639265,1254,1
192.168.1.77,91.108.8.8,28150,529,1588779639214,1588779639555,1414,0
91.108.8.1,192.168.1.77,533,28150,1588779639307,1588779639562,1286,1
192.168.1.77,91.108.8.8,28150,529,1588779639555,1588779639876,1430,0
91.108.8.1,192.168.1.77,533,28150,1588779639608,1588779639968,1478,1
192.168.1.77,91.108.8.8,28150,529,1588779639934,1588779640179,1286,0
91.108.8.1,192.168.1.77,533,28150,1588779640033,1588779640267,1318,1
192.168.1.77,91.108.16.3,28150,537,1588779639102,1588779640437,838,0
192.168.1.77,91.108.8.8,28150,529,1588779640236,1588779640596,1526,0
91.108.8.1,192.168.1.77,533,28150,1588779640331,1588779640694,1478,1
192.168.1.77,91.108.8.8,28150,529,1588779640654,1588779641015,1718,0
91.108.8.1,192.168.1.77,533,28150,1588779640757,1588779641120,1526,1
192.168.1.77,91.108.8.8,28150,529,1588779641084,1588779641443,1590,0
91.108.8.1,192.168.1.77,533,28150,1588779641184,1588779641528,1654,1
192.168.1.75,224.0.0.251,5353,5353,1588779612542,1588779641710,1890,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779612543,1588779641710,2030,0
192.168.1.77,91.108.8.8,28150,529,1588779641502,1588779641861,1574,0
91.108.8.1,192.168.1.77,533,28150,1588779641590,1588779641953,1862,1
192.168.1.77,91.108.8.8,28150,529,1588779641920,1588779642279,1350,0
91.108.8.1,192.168.1.77,533,28150,1588779642017,1588779642376,1574,1
192.168.1.77,91.108.8.8,28150,529,1588779642337,1588779642697,1846,0
91.108.8.1,192.168.1.77,533,28150,1588779642443,1588779642805,1718,1
192.168.1.77,91.108.8.8,28150,529,1588779642755,1588779643115,1846,0
91.108.8.1,192.168.1.77,533,28150,1588779642848,1588779643210,1702,1
192.168.1.77,91.108.8.8,28150,529,1588779643173,1588779643533,1846,0
91.108.8.1,192.168.1.77,533,28150,1588779643274,1588779643638,1814,1
192.168.1.75,224.0.0.251,5353,5353,1588779642894,1588779643962,1477,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779642894,1588779643963,1617,0
192.168.1.77,91.108.8.8,28150,529,1588779643603,1588779643963,1958,0
91.108.8.1,192.168.1.77,533,28150,1588779643702,1588779644064,1910,1
192.168.1.77,91.108.8.8,28150,529,1588779644021,1588779644381,1750,0
91.108.8.1,192.168.1.77,533,28150,1588779644106,1588779644470,1638,1
192.168.1.77,91.108.8.8,28150,529,1588779644438,1588779644798,1766,0
91.108.8.1,192.168.1.77,533,28150,1588779644533,1588779644896,1846,1
192.168.1.77,91.108.8.8,28150,529,1588779644856,1588779645216,1990,0
91.108.8.1,192.168.1.77,533,28150,1588779644961,1588779645322,1814,1
192.168.1.77,91.108.8.8,28150,529,1588779645275,1588779645635,1910,0
91.108.8.1,192.168.1.77,533,28150,1588779645369,1588779645728,1734,1
192.168.1.77,91.108.8.8,28150,529,1588779645693,1588779646064,1926,0
91.108.8.1,192.168.1.77,533,28150,1588779645791,1588779646154,1798,1
192.168.1.75,224.0.0.251,5353,5353,1588779643965,1588779646398,1586,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779643965,1588779646398,1726,0
192.168.1.77,192.168.1.75,5353,5353,1588779597291,1588779646451,2240,0
192.168.1.77,91.108.8.8,28150,529,1588779646122,1588779646482,1894,0
91.108.8.1,192.168.1.77,533,28150,1588779646218,1588779646581,1830,1
192.168.1.77,91.108.8.8,28150,529,1588779646540,1588779646900,1878,0
91.108.8.1,192.168.1.77,533,28150,1588779646645,1588779646990,1750,1
192.168.1.53,192.168.1.255,57621,57621,1588779608134,1588779647270,574,0
192.168.1.77,91.108.8.8,28150,529,1588779646958,1588779647318,1910,0
91.108.8.1,192.168.1.77,533,28150,1588779647051,1588779647414,1846,1
192.168.1.75,224.0.0.251,5353,5353,1588779646646,1588779647501,1397,0
fe80::4ba:91a:7817:e318,ff02::fb,5353,5353,1588779646647,1588779647502,1537,0
192.168.1.77,91.108.8.8,28150,529,1588779647376,1588779647736,1878,0
91.108.8.1,192.168.1.77,533,28150,1588779647478,1588779647845,1942,1
192.168.1.77,91.108.8.8,28150,529,1588779647794,1588779648154,1622,0
91.108.8.1,192.168.1.77,533,28150,1588779648006,1588779648253,2022,1
192.168.1.77,91.108.8.8,28150,529,1588779648224,1588779648583,1334,0
91.108.8.1,192.168.1.77,533,28150,1588779648429,1588779648671,1670,1
192.168.1.77,91.108.8.8,28150,529,1588779648641,1588779649001,1430,0
91.108.8.1,192.168.1.77,533,28150,1588779648735,1588779649099,1798,1
192.168.1.53,224.0.0.251,5353,5353,1588779643386,1588779649275,712,0
192.168.1.77,91.108.8.8,28150,529,1588779649060,1588779649419,1862,0
91.108.8.1,192.168.1.77,533,28150,1588779649162,1588779649526,2006,1
192.168.1.77,91.108.8.8,28150,529,1588779649477,1588779649837,1542,0
91.108.8.1,192.168.1.77,533,28150,1588779649568,1588779649929,1798,1
91.108.16.1,192.168.1.77,529,28150,1588779639193,1588779650102,806,0
91.108.12.3,192.168.1.77,530,28150,1588779639166,1588779650102,806,0
